web-scraper-order,address_raw,datetime,rooms,area,luxurious,price_per_m2,lat,lon
1693998205-38,"Buckwiesstrasse 12, 8700 Küsnacht ZH, ZH",2023-09-06 15:10:34,5.5,232.0,0,36.64,47.31980514526367,8.59211254119873
1693998205-39,"Binzigerstrasse 52, 8707 Uetikon am See, ZH",2023-09-06 15:10:34,6.5,300.0,1,0.04,47.26718521118164,8.689931869506836
1693998205-40,"Hinterdorfstr. 4, 8315 Lindau, ZH",2023-09-06 15:10:34,4.5,124.0,0,22.1,47.44243621826172,8.671416282653809
1693998205-41,"Dübendorfstrasse 22, 8602 Wangen b. Dübendorf, ZH",2023-09-06 15:10:34,3.5,94.0,0,25.0,47.40997314453125,8.642498970031738
1693998205-43,"Limmatstrasse 260, 8005 Zürich, ZH",2023-09-06 15:10:34,4.5,170.0,0,38.82,47.38913345336914,8.52584171295166
1693998205-44,"Friedenweg 5, 8192 Glattfelden, ZH",2023-09-06 15:10:34,3.5,100.0,0,20.8,47.55609893798828,8.506474494934082
1693998205-45,"Niederglatterstrasse 21, 8155 Niederhasli, ZH",2023-09-06 15:10:34,3.5,80.0,0,27.96,47.48181915283203,8.487357139587402
1693998205-46,"Marktgasse 17, 8400 Winterthur, ZH",2023-09-06 15:10:34,4.5,160.0,0,20.0,47.49971008300781,8.729727745056152
1693998205-48,"Goldistenstrasse 23, 8625 Gossau ZH, ZH",2023-09-06 15:10:34,7.5,210.0,0,20.0,47.30751037597656,8.764126777648926
1693998210-50,"8152 Glattpark (Opfikon), ZH",2023-09-06 15:10:34,2.5,78.0,0,35.26,47.42475509643555,8.563809394836426
1693998210-51,"Hofackerstrasse 5, 8422 Pfungen, ZH",2023-09-06 15:10:34,4.5,107.0,0,17.76,47.515235900878906,8.642589569091797
1693998210-52,"Untere Briggerstrasse 66, 8406 Winterthur, ZH",2023-09-06 15:10:34,3.5,88.0,0,25.5,47.49394989013672,8.7112398147583
1693998210-53,"Bergstrasse  16, 8955 Oetwil an der Limmat, ZH",2023-09-06 15:10:34,5.5,282.0,0,21.28,47.428916931152344,8.398645401000977
1693998210-54,"Hagenholzstrasse 100, 8050 Zürich, ZH",2023-09-06 15:10:34,4.5,141.0,0,23.47,47.414215087890625,8.558320045471191
1693998210-55,"8303 Bassersdorf, ZH",2023-09-06 15:10:34,4.5,136.0,0,25.0,47.44419479370117,8.625370025634766
1693998210-56,"8152 Glattbrugg, ZH",2023-09-06 15:10:34,1.5,26.0,0,61.54,47.429954528808594,8.560653686523438
1693998210-57,"8182 Hochfelden, ZH",2023-09-06 15:10:34,5.5,148.0,0,20.22,47.52345275878906,8.517125129699707
1693998210-58,"Lehenstrasse 51, 8037 Zürich, ZH",2023-09-06 15:10:34,1.5,35.0,0,49.71,47.39653015136719,8.523354530334473
1693998210-59,"8180 Bülach, ZH",2023-09-06 15:10:34,4.0,80.0,0,26.88,47.5200309753418,8.5663423538208
1693998210-60,"8340 Hinwil, ZH",2023-09-06 15:10:34,5.5,135.0,0,28.52,47.291812896728516,8.820669174194336
1693998210-61,"Aprikosenstrasse 5, 8051 Zürich, ZH",2023-09-06 15:10:34,1.0,23.0,0,69.13,47.405818939208984,8.570385932922363
1693998210-62,"8800 Thalwil, ZH",2023-09-06 15:10:34,2.5,75.0,0,25.33,47.2904052734375,8.560197830200195
1693998210-63,"8427 Rorbas, ZH",2023-09-06 15:10:34,4.5,127.0,0,19.69,47.53139877319336,8.58006763458252
1693998210-64,"Breitenstrasse 14, 8134 Adliswil, ZH",2023-09-06 15:10:34,3.5,71.0,0,29.37,47.306339263916016,8.519155502319336
1693998210-65,"Wallisellerstrasse 24, 8152 Glattbrugg, ZH",2023-09-06 15:10:34,3.5,81.0,0,32.72,47.43341827392578,8.568982124328613
1693998210-66,"8636 Wald ZH, ZH",2023-09-06 15:10:34,3.5,113.0,0,19.03,47.277626037597656,8.896055221557617
1693998210-67,"Wülflingerstrasse 25, 8400 Winterthur, ZH",2023-09-06 15:10:34,3.5,80.0,0,24.75,47.504737854003906,8.71804428100586
1693998210-69,"8041 Zürich, ZH",2023-09-06 15:10:34,2.5,73.0,0,47.4,47.32240295410156,8.51379680633545
1693998210-70,"Ida-Sträuli-Strasse 39, 8404 Winterthur, ZH",2023-09-06 15:10:34,2.5,66.0,0,38.18,47.50312042236328,8.766748428344727
1693998210-71,"Chrüzweg 4, 8805 Richterswil, ZH",2023-09-06 15:10:34,4.0,83.0,0,23.8,47.20819091796875,8.706659317016602
1693998210-72,"Herbstweg 57, 8050 Zürich, ZH",2023-09-06 15:10:34,3.5,71.0,0,37.32,47.40635299682617,8.561315536499023
1693998214-75,"Fangletenstrasse 6, 8180 Bülach, ZH",2023-09-06 15:10:34,3.5,96.0,0,25.57,47.52735137939453,8.53823471069336
1693998214-76,"8154 Oberglatt ZH, ZH",2023-09-06 15:10:34,2.5,88.0,0,22.84,47.48006820678711,8.524243354797363
1693998214-77,"Oberdorfstrasse, 8934 Knonau, ZH",2023-09-06 15:10:34,4.0,240.0,0,14.58,47.22494125366211,8.4617280960083
1693998214-78,"8004 Zürich, ZH",2023-09-06 15:10:34,2.5,45.0,0,56.0,47.38041687011719,8.525351524353027
1693998214-79,"Poststrasse, 8953 Dietikon, ZH",2023-09-06 15:10:34,1.0,18.0,0,61.11,47.403568267822266,8.405932426452637
1693998214-82,"Baurstrasse 29, 8008 Zürich, ZH",2023-09-06 15:10:34,1.5,30.0,0,126.33,47.35592269897461,8.554497718811035
1693998214-83,"Baurstrasse 29, 8008 Zürich, ZH",2023-09-06 15:10:34,1.5,25.0,0,139.6,47.35592269897461,8.554497718811035
1693998214-84,"Zentralstrasse 37, 8003 Zürich, ZH",2023-09-06 15:10:34,2.5,75.0,0,87.87,47.37150573730469,8.519575119018555
1693998214-85,"Alter Seeweg, 8124 Maur, ZH",2023-09-06 15:10:34,3.5,118.0,0,28.81,47.33884811401367,8.672297477722168
1693998214-86,"Friedhofstrasse 9, 8104 Weiningen ZH, ZH",2023-09-06 15:10:34,1.0,30.0,0,16.67,47.42219161987305,8.435792922973633
1693998214-87,"8049 Zürich, ZH",2023-09-06 15:10:34,2.0,70.0,0,23.21,47.4071159362793,8.494709968566895
1693998214-88,"Dorfstrasse 2, 8309 Nürensdorf, ZH",2023-09-06 15:10:34,5.5,150.0,0,30.0,47.45838928222656,8.638628959655762
1693998214-89,"Schulhausstrasse, 8180 Bülach, ZH",2023-09-06 15:10:34,1.0,20.0,0,37.5,47.51849365234375,8.537640571594238
1693998214-90,"8400 Winterthur, ZH",2023-09-06 15:10:34,4.5,117.0,0,32.32,47.49886703491211,8.722684860229492
1693998214-91,"Gutrainstrasse 7 A, 8303 Bassersdorf, ZH",2023-09-06 15:10:34,5.0,130.0,0,22.38,,
1693998214-92,"Niderdürstelenstrasse 59, 8494 Bauma, ZH",2023-09-06 15:10:34,3.5,73.0,0,26.71,47.37016296386719,8.855679512023926
1693998214-93,"Bucheggstrasse 130, 8057 Zürich, ZH",2023-09-06 15:10:34,1.5,35.0,0,51.43,47.398319244384766,8.538369178771973
1693998214-94,"8704 Herrliberg, ZH",2023-09-06 15:10:34,1.0,18.0,0,63.89,47.28742218017578,8.617650032043457
1693998214-95,"Mülibachstrasse 9, 8805 Richterswil, ZH",2023-09-06 15:10:34,3.5,105.0,1,32.48,47.2037467956543,8.705288887023926
1693998214-96,"Rauchackerstrasse 48, 8102 Oberengstringen, ZH",2023-09-06 15:10:34,1.0,25.0,0,51.6,47.40972137451172,8.456247329711914
1693998219-97,"Dättlikonerstrasse 4, 8422 Pfungen, ZH",2023-09-06 15:10:34,2.5,86.0,0,28.6,47.51786804199219,8.638663291931152
1693998219-98,"Hagenbuchstrasse 29, 8192 Zweidlen, ZH",2023-09-06 15:10:34,3.5,96.0,0,23.96,47.570011138916016,8.469552993774414
1693998219-114,"Forchstrasse 84, 8008 Zürich, ZH",2023-09-06 15:10:34,2.0,62.0,0,47.9,47.36206817626953,8.559245109558105
1693998219-115,"Heiselstrasse 89, 8155 Niederhasli, ZH",2023-09-06 15:10:34,2.5,57.0,0,24.04,47.483543395996094,8.496526718139648
1693998219-116,"Grosswiesenstr. 61, 8422 Pfungen, ZH",2023-09-06 15:10:34,2.5,60.0,0,25.17,47.51723861694336,8.640911102294922
1693998219-117,"Obermattweg 3, 8545 Rickenbach ZH, ZH",2023-09-06 15:10:34,4.5,124.0,0,17.5,47.549869537353516,8.794327735900879
1693998219-118,"8002 Zürich, ZH",2023-09-06 15:10:34,8.5,210.0,0,40.48,47.361061096191406,8.532576560974121
1693998219-119,"Freudenbergstrasse, 8044 Zürich, ZH",2023-09-06 15:10:34,2.5,90.0,0,34.78,47.379554748535156,8.559854507446289
1693998224-121,"Mitteldorfstrasse 27, 8475 Ossingen, ZH",2023-09-06 15:10:34,4.5,106.0,0,20.47,47.611351013183594,8.726527214050293
1693998224-122,"Rainstrasse 80, 8712 Stäfa, ZH",2023-09-06 15:10:34,4.5,148.0,0,29.73,47.248626708984375,8.720181465148926
1693998224-123,"Keltenstrasse 12, 8044 Zürich, ZH",2023-09-06 15:10:34,1.5,63.0,0,47.3,47.376548767089844,8.561196327209473
1693998224-124,"Im Gsteig 9, 8712 Stäfa, ZH",2023-09-06 15:10:34,7.0,115.0,0,30.43,,
1693998224-125,"Hirschweg 9, 8405 Winterthur, ZH",2023-09-06 15:10:34,6.5,143.0,0,24.48,47.482582092285156,8.768205642700195
1693998224-126,"Neunfornerstrasse 4, 8479 Altikon, ZH",2023-09-06 15:10:34,4.5,133.0,0,15.04,47.573734283447266,8.781241416931152
1693998224-127,"Binzstr. 41, 8620 Wetzikon ZH, ZH",2023-09-06 15:10:34,3.5,74.0,0,26.88,47.329345703125,8.800528526306152
1693998224-128,"Müliwiesstrasse 71, 8487 Zell ZH, ZH",2023-09-06 15:10:34,4.5,133.0,0,18.42,47.442684173583984,8.820551872253418
1693998224-130,"Leigass 7, 8820 Wädenswil, ZH",2023-09-06 15:10:34,4.0,76.0,0,28.95,47.2255859375,8.672236442565918
1693998224-131,"Hagenholzstrasse 59, 8050 Zürich, ZH",2023-09-06 15:10:34,1.5,24.0,0,81.67,47.41465759277344,8.555407524108887
1693998224-132,"Im Rebacher 10, 8118 Pfaffhausen, ZH",2023-09-06 15:10:34,5.5,121.0,0,23.97,47.3621940612793,8.621418952941895
1693998224-133,"Forchstrasse 150, 8032 Zürich, ZH",2023-09-06 15:10:34,2.5,64.0,1,40.0,47.360294342041016,8.564233779907227
1693998224-134,"Wartstr. 30, 8400 Winterthur, ZH",2023-09-06 15:10:34,1.0,49.0,0,28.37,47.50136947631836,8.72093677520752
1693998224-135,"Am Eulachpark 25, 8404 Winterthur, ZH",2023-09-06 15:10:34,6.5,143.0,0,21.1,47.506324768066406,8.763714790344238
1693998224-138,"Pfingstweidstrasse 98, 8005 Zürich, ZH",2023-09-06 15:10:34,1.5,81.0,0,38.65,47.39064025878906,8.51033878326416
1693998224-139,"Wolfgrabenstrasse 15c, 8135 Langnau am Albis, ZH",2023-09-06 15:10:34,4.5,111.0,0,28.2,47.285701751708984,8.53023624420166
1693998224-140,"Eilweg 8, 8634 Hombrechtikon, ZH",2023-09-06 15:10:34,4.5,81.0,0,21.6,47.248863220214844,8.772636413574219
1693998224-141,"Katharina Sulzer Platz 2, 8400 Winterthur, ZH",2023-09-06 15:10:34,1.0,132.0,0,24.7,47.496612548828125,8.718550682067871
1693998224-143,"Mühlebachstr. 28, 8008 Zürich, ZH",2023-09-06 15:10:34,4.5,128.0,0,44.61,47.3648567199707,8.550126075744629
1693998224-144,"Dättlikonerstrasse 4, 8422 Pfungen, ZH",2023-09-06 15:10:34,3.5,84.0,0,26.55,47.51786804199219,8.638663291931152
1693998228-145,"Wechselächerstrasse 41, 8103 Unterengstringen, ZH",2023-09-06 15:10:34,3.5,87.0,0,32.07,47.411895751953125,8.441164016723633
1693998228-146,"Vulkanstrasse 110c, 8048 Zürich, ZH",2023-09-06 15:10:34,3.0,100.0,0,48.0,47.39374923706055,8.484014511108398
1693998228-147,"Wehntalerstrasse 38, 8157 Dielsdorf, ZH",2023-09-06 15:10:34,5.5,120.0,0,24.58,47.48212432861328,8.453387260437012
1693998228-148,"8004 Zürich, ZH",2023-09-06 15:10:34,2.5,48.0,0,70.0,47.38041687011719,8.525351524353027
1693998228-149,"Brunnenwiesenstrasse 15, 8105 Regensdorf, ZH",2023-09-06 15:10:34,4.5,177.0,0,22.43,47.42833709716797,8.480559349060059
1693998228-150,"Dorfstrasse 10, 8181 Höri, ZH",2023-09-06 15:10:34,4.5,104.0,0,26.92,47.50333786010742,8.497507095336914
1693998228-151,"Goldbühlstrasse 15, 8620 Wetzikon ZH, ZH",2023-09-06 15:10:34,4.5,98.0,0,22.45,47.32805633544922,8.806318283081055
1693998228-152,"Dorfstrasse 10, 8181 Höri, ZH",2023-09-06 15:10:34,4.5,104.0,0,24.04,47.50333786010742,8.497507095336914
1693998228-153,"Tannenstrasse 8, 8442 Hettlingen, ZH",2023-09-06 15:10:34,4.5,120.0,0,24.92,47.54757308959961,8.7159423828125
1693998228-154,"Alte Obfelderstrasse 21, 8910 Affoltern am Albis, ZH",2023-09-06 15:10:34,2.0,46.0,0,30.87,47.27543640136719,8.445223808288574
1693998228-155,"Kirchstrasse 5, 8805 Richterswil, ZH",2023-09-06 15:10:34,2.5,73.0,0,28.32,47.20791244506836,8.704605102539062
1693998228-156,"8046 Zürich, ZH",2023-09-06 15:10:34,4.0,90.0,0,39.44,47.4151725769043,8.527069091796875
1693998228-157,"Rudolfingerstrasse 8, 8465 Wildensbuch, ZH",2023-09-06 15:10:34,3.5,85.0,0,34.12,47.65116882324219,8.675714492797852
1693998228-158,"Hildastrasse 1, 8004 Zürich, ZH",2023-09-06 15:10:34,2.0,21.0,0,94.76,47.37620162963867,8.516153335571289
1693998228-159,"Im Feld 10, 8180 Bülach, ZH",2023-09-06 15:10:34,2.5,68.0,0,25.74,47.5114860534668,8.539093971252441
1693998228-160,"8615 Wermatswil, ZH",2023-09-06 15:10:34,6.5,170.0,0,32.35,47.36240768432617,8.747447967529297
1693998228-161,"8046 Zürich, ZH",2023-09-06 15:10:34,3.0,80.0,0,41.88,47.4151725769043,8.527069091796875
1693998228-162,"8816 Hirzel, ZH",2023-09-06 15:10:34,2.5,130.0,0,18.08,47.21406555175781,8.606656074523926
1693998228-163,"8032 Zürich, ZH",2023-09-06 15:10:34,7.0,180.0,0,35.0,47.36512756347656,8.553799629211426
1693998228-164,"Eichstrasse 7, 8712 Stäfa, ZH",2023-09-06 15:10:34,4.5,144.0,0,22.22,47.23812484741211,8.738932609558105
1693998228-165,"Wybüelstrasse 16, 8702 Zollikon, ZH",2023-09-06 15:10:34,3.5,100.0,1,55.5,47.34372329711914,8.57780647277832
1693998228-166,"Zürcherstrasse 143, 8406 Winterthur, ZH",2023-09-06 15:10:34,1.5,36.0,0,58.33,47.49033737182617,8.705376625061035
1693998228-167,"Wilhofstrasse 4, 8332 Russikon, ZH",2023-09-06 15:10:34,4.5,150.0,0,22.9,47.39202117919922,8.775553703308105
1693998228-168,"Untere Schärerstrasse 6, 8352 Elsau, ZH",2023-09-06 15:10:34,5.5,140.0,0,20.36,47.50057601928711,8.80012321472168
1693998233-169,"Schweizäckerstrasse 14, 8955 Oetwil an der Limmat, ZH",2023-09-06 15:10:34,1.5,33.0,0,43.64,47.42378616333008,8.403396606445312
1693998233-170,"Engstringerstr.  Gebäude F 5,, 8952 Schlieren, ZH",2023-09-06 15:10:34,3.5,96.0,0,29.03,,
1693998233-171,"Landstrasse 28, 8450 Andelfingen, ZH",2023-09-06 15:10:34,3.5,75.0,0,23.2,47.59244155883789,8.679210662841797
1693998233-172,"Widacherstrasse 5, 8630 Rüti ZH, ZH",2023-09-06 15:10:34,3.0,111.0,0,23.42,47.2520866394043,8.85491943359375
1693998233-173,"Bahnhofstrasse 83, 8245 Feuerthalen, ZH",2023-09-06 15:10:34,3.5,69.0,0,21.59,47.687747955322266,8.649845123291016
1693998233-174,"Loowiesenstrasse 41, 8106 Adlikon b. Regensdorf, ZH",2023-09-06 15:10:34,3.5,95.0,0,23.26,47.453582763671875,8.462523460388184
1693998233-176,"8636 Wald ZH, ZH",2023-09-06 15:10:34,3.5,90.0,0,15.78,47.277626037597656,8.896055221557617
1693998233-177,"Bucheggstrasse 130, 8057 Zürich, ZH",2023-09-06 15:10:34,4.5,119.0,0,36.64,47.398319244384766,8.538369178771973
1693998233-178,"Bucheggstrasse 130, 8057 Zürich, ZH",2023-09-06 15:10:34,3.0,58.0,0,41.38,47.398319244384766,8.538369178771973
1693998233-180,"8421 Dättlikon, ZH",2023-09-06 15:10:34,4.0,90.0,0,16.44,47.523521423339844,8.610370635986328
1693998233-181,"Zugerstrasse 37, 8820 Wädenswil, ZH",2023-09-06 15:10:34,1.5,59.0,0,24.41,47.22987365722656,8.66808032989502
1693998233-182,"8175 Windlach, ZH",2023-09-06 15:10:34,4.5,107.0,0,19.44,47.54396438598633,8.486028671264648
1693998233-184,"Kelchweg 1, 8048 Zürich, ZH",2023-09-06 15:10:34,2.5,69.0,0,33.19,47.389854431152344,8.480420112609863
1693998233-185,"Bernhofstrasse 52, 8134 Adliswil, ZH",2023-09-06 15:10:34,3.5,65.0,0,25.38,47.30489730834961,8.521225929260254
1693998233-186,"Segel, 6, 8825 Hütten, ZH",2023-09-06 15:10:34,2.5,55.0,0,37.27,47.180667877197266,8.656099319458008
1693998233-187,"Ländischstrasse 132, 8706 Meilen, ZH",2023-09-06 15:10:34,3.5,91.0,0,27.47,47.27481460571289,8.62796688079834
1693998233-188,"Sonnenbergstrasse 3, 8603 Schwerzenbach, ZH",2023-09-06 15:10:34,4.5,122.0,0,24.1,47.3838005065918,8.649947166442871
1693998233-189,"Bahnhofstrasse 99i, 8620 Wetzikon ZH, ZH",2023-09-06 15:10:34,3.5,80.0,0,28.5,47.32447814941406,8.797882080078125
1693998233-191,"Am Holbrig 2, 8049 Zürich, ZH",2023-09-06 15:10:34,3.5,90.0,0,19.44,47.40501403808594,8.495719909667969
1693998233-192,"8942 Oberrieden, ZH",2023-09-06 15:10:34,4.5,121.0,0,41.24,47.273353576660156,8.564094543457031
1693998236-193,"Wolframplatz 1, 8045 Zürich, ZH",2023-09-06 15:10:34,2.0,41.0,0,95.85,47.362281799316406,8.52219295501709
1693998236-195,"Äussere Vordergasse 11, 8353 Elgg, ZH",2023-09-06 15:10:34,3.5,112.0,0,21.43,47.49110412597656,8.868546485900879
1693998236-196,"Sellenbüren 2, 8143 Stallikon, ZH",2023-09-06 15:10:34,4.5,98.0,0,24.39,47.3452262878418,8.47954273223877
1693998236-197,"Utoquai 37, 8008 Zürich, ZH",2023-09-06 15:10:34,3.5,169.0,0,53.25,47.36368179321289,8.546780586242676
1693998236-198,"Vogtmühlestrasse 2, 8173 Neerach, ZH",2023-09-06 15:10:34,3.5,101.0,0,23.96,47.51044464111328,8.469561576843262
1693998236-199,"Buechenstrasse 14, 8174 Stadel b. Niederglatt, ZH",2023-09-06 15:10:34,3.5,84.0,0,23.99,47.531742095947266,8.465595245361328
1693998236-200,"Lindenstr. 17, 8302 Kloten, ZH",2023-09-06 15:10:34,1.5,59.0,0,24.58,47.449344635009766,8.583712577819824
1693998236-201,"8400 Winterthur, ZH",2023-09-06 15:10:34,4.5,112.0,0,30.0,47.49886703491211,8.722684860229492
1693998236-202,"Fangletenstrasse 6, 8180 Bülach, ZH",2023-09-06 15:10:34,3.5,88.0,0,27.18,47.52735137939453,8.53823471069336
1693998236-203,"Poststrasse, 8610 Uster, ZH",2023-09-06 15:10:34,3.5,87.0,0,28.16,47.34986877441406,8.718284606933594
1693998236-204,"Badenerstrasse 123, 8004 Zürich, ZH",2023-09-06 15:10:34,4.0,98.0,0,35.62,47.3741569519043,8.523697853088379
1693998236-205,"Alte Landstrasse, 8702 Zollikon, ZH",2023-09-06 15:10:34,3.0,78.0,0,35.9,47.34526824951172,8.569451332092285
1693998236-207,"Etzelstrasse 35, 8038 Zürich, ZH",2023-09-06 15:10:34,3.5,100.0,1,91.5,47.3465461730957,8.530694961547852
1693998236-208,"Rosengartenstrasse 55, 8037 Zürich, ZH",2023-09-06 15:10:34,2.5,65.0,0,90.77,47.3958854675293,8.529154777526855
1693998236-209,"Eidmattstrasse 38, 8032 Zürich, ZH",2023-09-06 15:10:34,2.5,70.0,0,84.29,47.36497497558594,8.560164451599121
1693998236-211,"zürichstrasse 157, 8910 Affoltern am Albis, ZH",2023-09-06 15:10:34,3.0,70.0,0,24.86,47.283363342285156,8.453010559082031
1693998236-212,"Willikonerstrasse 52, 8618 Oetwil am See, ZH",2023-09-06 15:10:34,4.0,95.0,0,19.68,47.26665115356445,8.7277250289917
1693998236-214,"Thesenacher 6, 8126 Zumikon, ZH",2023-09-06 15:10:34,4.5,94.0,0,26.91,47.32744216918945,8.633702278137207
1693998236-215,"8404 Winterthur, ZH",2023-09-06 15:10:34,4.0,92.0,0,25.43,47.51652908325195,8.75711727142334
1693998236-216,"Schöneggstr. 51, 8953 Dietikon, ZH",2023-09-06 15:10:34,3.5,73.0,0,20.86,47.39987564086914,8.408111572265625
1693998240-217,"Glärnischstrasse 37, 8810 Horgen, ZH",2023-09-06 15:10:34,4.5,124.0,0,28.23,47.256038665771484,8.606203079223633
1693998240-218,"Hint. Grundstr. 26, 8320 Fehraltorf, ZH",2023-09-06 15:10:34,3.0,93.0,0,15.76,47.38629913330078,8.758942604064941
1693998240-219,"Hint. Grundstr. 22, 8320 Fehraltorf, ZH",2023-09-06 15:10:34,3.5,97.0,0,14.43,47.38653564453125,8.758410453796387
1693998240-220,"Rütibuckstrasse 6, 8248 Uhwiesen, ZH",2023-09-06 15:10:34,5.5,125.0,0,23.6,47.67509078979492,8.631156921386719
1693998240-221,"Seerenstrasse 14, 8187 Weiach, ZH",2023-09-06 15:10:34,1.5,46.0,0,30.87,47.562713623046875,8.427143096923828
1693998240-222,"Burbelweg 2a, 8154 Oberglatt ZH, ZH",2023-09-06 15:10:34,2.5,140.0,0,19.39,47.48086929321289,8.508453369140625
1693998240-223,"Weidstrasse 2, 8607 Aathal-Seegräben, ZH",2023-09-06 15:10:34,6.5,258.0,0,16.67,,
1693998240-224,"Eichwisstrasse, 8634 Hombrechtikon, ZH",2023-09-06 15:10:34,3.5,84.0,0,27.14,47.253662109375,8.780940055847168
1693998240-225,"Untere Bühlenstrasse 9, 8708 Männedorf, ZH",2023-09-06 15:10:34,3.5,148.0,0,26.15,47.259456634521484,8.685978889465332
1693998240-228,"St. Urbangasse 8, 8001 Zürich, ZH",2023-09-06 15:10:34,3.5,81.0,0,48.06,47.367164611816406,8.546512603759766
1693998240-229,"Hagenholzstrasse 59, 8050 Zürich, ZH",2023-09-06 15:10:34,1.5,24.0,0,81.67,47.41465759277344,8.555407524108887
1693998240-230,"Niderwisstrasse 2, 8627 Grüningen, ZH",2023-09-06 15:10:34,3.5,69.0,0,25.07,,
1693998240-231,"Susenbergstrasse 142, 8044 Zürich, ZH",2023-09-06 15:10:34,3.5,78.0,0,38.08,47.384761810302734,8.55949878692627
1693998240-235,"Bahnhofstrasse 19, 8803 Rüschlikon, ZH",2023-09-06 15:10:34,4.5,144.0,0,46.25,47.31246566772461,8.554110527038574
1693998240-236,"Weststrasse 50, 8620 Wetzikon ZH, ZH",2023-09-06 15:10:34,3.5,89.0,0,26.42,47.32775115966797,8.794655799865723
1693998243-241,"Engstringerstr.  Gebäude E 5,, 8952 Schlieren, ZH",2023-09-06 15:10:34,3.5,95.0,0,27.48,,
1693998243-242,"Zürichstrasse 87, 8600 Dübendorf, ZH",2023-09-06 15:10:34,3.5,79.0,0,28.48,47.3949089050293,8.606677055358887
1693998243-243,"8154 Oberglatt ZH, ZH",2023-09-06 15:10:34,6.0,150.0,0,32.0,47.48006820678711,8.524243354797363
1693998243-244,"8180 Bülach, ZH",2023-09-06 15:10:34,4.5,140.0,0,19.64,47.5200309753418,8.5663423538208
1693998243-245,"Zelgliweg 5, 8311 Brütten, ZH",2023-09-06 15:10:34,5.5,270.0,0,17.04,47.470985412597656,8.672099113464355
1693998243-246,"Albisstrasse 9, 8038 Zürich, ZH",2023-09-06 15:10:34,1.0,15.0,0,66.33,47.34455871582031,8.533279418945312
1693998243-247,"Haldenstrasse, 8045 Zürich, ZH",2023-09-06 15:10:34,2.5,50.0,0,54.4,47.36302185058594,8.518438339233398
1693998243-248,"Hirschweg 33, 8405 Winterthur, ZH",2023-09-06 15:10:34,4.5,107.0,0,27.36,47.48129653930664,8.77005672454834
1693998243-249,"Badenerstrasse 841, 8048 Zürich, ZH",2023-09-06 15:10:34,2.5,96.0,0,33.85,47.39337921142578,8.472841262817383
1693998243-251,"Euelstrasse  56, 8408 Winterthur, ZH",2023-09-06 15:10:34,5.5,170.0,0,22.94,47.510799407958984,8.680351257324219
1693998243-252,"Erlenweg 7, 8700 Küsnacht ZH, ZH",2023-09-06 15:10:34,4.0,89.0,0,33.43,47.310211181640625,8.588823318481445
1693998243-253,"Lindenbachstrasse 52, 8006 Zürich, ZH",2023-09-06 15:10:34,3.5,65.0,0,46.62,47.389678955078125,8.536903381347656
1693998243-255,"Dorfstraße 72, 8212 Nohl, ZH",2023-09-06 15:10:34,5.5,150.0,0,26.6,,
